################################################################
# abuse.ch URLhaus Database Dump (CSV - recent URLs only)      #
# Last updated: 2022-09-13 07:28:08 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"2301008","2022-09-13 07:28:08","http://117.216.19.13:42598/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2301008/","geenensp"
"2301007","2022-09-13 07:24:09","http://122.239.145.217:45795/bin.sh","online","None","malware_download","32-bit,arm,elf,Mozi","https://urlhaus.abuse.ch/url/2301007/","geenensp"
"2301006","2022-09-13 07:20:06","http://79.185.87.173:2435/.i","online","None","malware_download","hajime","https://urlhaus.abuse.ch/url/2301006/","geenensp"
"2301005","2022-09-13 07:18:04","http://61.53.143.171:35791/i","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2301005/","geenensp"
"2301004","2022-09-13 07:11:34","https://d008.roles.thepowerofgodswhisper.com/updateResource","offline","None","malware_download","SocGholish","https://urlhaus.abuse.ch/url/2301004/","Cryptolaemus1"
"2301003","2022-09-13 07:10:16","http://117.216.18.140:50383/mozi.m","online","None","malware_download","None","https://urlhaus.abuse.ch/url/2301003/","tammeto"
"2301002","2022-09-13 07:10:05","http://27.215.173.175:57095/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2301002/","geenensp"
"2301001","2022-09-13 07:05:13","http://117.216.19.13:42598/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2301001/","geenensp"
"2301000","2022-09-13 07:00:09","https://dl.uploadgram.me/631f692f769adg?raw","online","None","malware_download","None","https://urlhaus.abuse.ch/url/2301000/","JAMESWT_MHT"
"2300999","2022-09-13 07:00:05","https://dl.uploadgram.me/6312834e4f235h?raw","online","None","malware_download","None","https://urlhaus.abuse.ch/url/2300999/","JAMESWT_MHT"
"2300997","2022-09-13 06:57:06","http://149.57.201.221/powerpc","online","None","malware_download","32,bashlite,elf,gafgyt,mirai,PowerPC","https://urlhaus.abuse.ch/url/2300997/","zbetcheckin"
"2300998","2022-09-13 06:57:06","http://149.57.201.221/armv4l","online","None","malware_download","32,arm,bashlite,elf,gafgyt,mirai","https://urlhaus.abuse.ch/url/2300998/","zbetcheckin"
"2300996","2022-09-13 06:56:15","http://117.255.17.68:51906/bin.sh","online","None","malware_download","32-bit,elf,mips,Mozi","https://urlhaus.abuse.ch/url/2300996/","geenensp"
"2300992","2022-09-13 06:56:05","http://149.57.201.221/x86","online","None","malware_download","64,bashlite,elf,gafgyt,mirai","https://urlhaus.abuse.ch/url/2300992/","zbetcheckin"
"2300993","2022-09-13 06:56:05","http://149.57.201.221/i686","online","None","malware_download","32,bashlite,elf,gafgyt,intel,mirai","https://urlhaus.abuse.ch/url/2300993/","zbetcheckin"
"2300994","2022-09-13 06:56:05","http://149.57.201.221/m68k","online","None","malware_download","32,elf,mirai,motorola","https://urlhaus.abuse.ch/url/2300994/","zbetcheckin"
"2300995","2022-09-13 06:56:05","http://149.57.201.221/armv5l","online","None","malware_download","32,arm,bashlite,elf,gafgyt","https://urlhaus.abuse.ch/url/2300995/","zbetcheckin"
"2300991","2022-09-13 06:56:04","http://149.57.201.221/sh4","online","None","malware_download","32,bashlite,elf,gafgyt,mirai,renesas","https://urlhaus.abuse.ch/url/2300991/","zbetcheckin"
"2300990","2022-09-13 06:55:31","http://149.57.201.221/mipsel","online","None","malware_download","32,bashlite,elf,gafgyt,mips,mirai","https://urlhaus.abuse.ch/url/2300990/","zbetcheckin"
"2300989","2022-09-13 06:55:25","http://149.57.201.221/sparc","online","None","malware_download","32,bashlite,elf,gafgyt,mirai,sparc","https://urlhaus.abuse.ch/url/2300989/","zbetcheckin"
